hash,Nganh
0af5b8666392b7f00db0ecc6de3f4a26,T10
b9ea20d8097838081c968bbf8799c15e,T10
d7da836492db640c5cc459554d8a1bc8,T10
1141fa0006d44352f1cfacc1244eb58e,T8
5e0363ba23a4ce6cfb8adc588e37cf45,TA33
8111cb259844a6a6c235069cd1f8fac9,TA33
1110b50066972dcc1fd14103066059ac,TA33
21d5f7ae0b3ea4039e18fe3601820e8a,TA33
083c3fc604a43138f9f7283869400b7d,TA33
7d69360b9c6ab78e71f78de0c6aae17c,TA33
24056e608d83cae161098517c4eb98e1,TA33
42de4de77f493a0833bf6eac827c5c30,TA33
c38e74781a3774e7058f9001783939a1,TA33
a5861e02c73bfa4bf4005bebfe90783a,TA33
243bfab7068877cd25f9c654b1360a14,TA33
e2f7af8a2cbd2b3b230c3ff95a507333,TA33
67cd2bdfa26ed3e6adafb4fd705fb043,TA33
91700ebafb63592284e682a28a3715d1,TA33
4a5459f9c19c7b4efc5f102747e704b1,TA33
d1299521a13997264ec573aca64e84ea,TA33
0ad8cdc14cb76bf5ade0aa3594db378c,TA33
a6c1c393ab2e59691f1644a226fa4ada,TA33
1935cb9b38f4617c4d6e3eaa7c5df663,TA33
00ffe4acea522dedf1781200f6677538,TA33
71cae4e57676b7c931f2738797cf9378,TA33
cd12b8ceab720ebae61757d49af8d942,TA33
3093892ff3ae472a2c2464401084483c,TA33
b196f660d7b21ab3312401fba1f0f281,TA33
204f248e75c025b75e44306cc89e2d75,TA33
8665db7ec857d07822bc503f4f26cfd8,TA33
257a12735212e7579b1c731f73b72dc0,TA33
201ba59a0a52dc2d976ac66d82e23eae,TA33
1d070b37f30c918f0d9415346069dc96,TA33
dc3b984e1c87987b0782b2a96dd17598,TA33
d90d0bfbc5b7c30ac87792b11d722b99,TA33
506428f6f0bd304c53d281194611f9be,TA33
5c615ff6cca78b6a0fb951ff277c7406,TA33
57861cdaf6af12ef1e4efa1166a53693,TA33
ef61d84e89f1ffe729f02317421204ac,TA33
15817d46533cb36f1b21de0247319ac8,TA33
f247e23c2f87106118ba16406f8cf7af,TA33
785ced70b75f114daf8ce3ea97467fe3,TA33
c198d3340da512f992f1dcc1f7cc46c8,TA33
ea27ef09e06c2150265dc85195ebaf2f,TA33
29f558847cae9cf2aff01d74c03cc6d2,TA33
667ff603691d19885339da3765b6798d,TA33
ecb640c85d628d8616085b6188cea67f,TA33
c1a4dee8535f9a6e42153160e85f0d36,TA33
f9ec860eced28d9f765f7c029ed722d4,TA33
8591e1e9f39b512cea47dddb8133e628,TA33
e6f323dd07756b16f7f41b9e102d50d5,TA34
90c2a2ea5741634c7190f50c3f8a8ec6,TA34
0ca50b4340fb7bf7cd8e8e9017e0a145,TA34
75c6e446d640539ac10717c7abc8b4b6,TA34
710ce06a2af10ff6f00f44b2e849b353,TA34
28287426322efe122fd397579428177b,TA34
d1c991b3f2f2005f4a9eb3c70a5782ca,TA34
6c003e2d63fcb5fe372dfb5ed17e85b0,TA34
ebb56af9c2e826056eff96bc47c10a3f,TA34
df33c20e025bb62d9133aa88fb521df8,TA34
6137fb14b6beec2d553f971692d18442,TA34
ed1a3be5fadb9494fbffd2f1bbe84ed6,TA34
5de1a87ac74811fc7c8f95a1d19d4597,TA34
90e67c88619e78c8e40fa64173c08225,TA34
44c40afe45173eac45996766f2f8bf81,TA34
bef8bdcdba77f7319eccddef2b3d8276,TA34
8104d3f5c5976c4de568407612bdce3f,TA34
09d509c9fb70280d97958566a3c2f0df,TA34
9d499da8913ee4ed9687643874304b67,TA34
571a5543ebc0a7880d1e053b18388c27,TA34
89d94fb073fe40615f3e83fb12e21fdd,TA34
6b24978792599bd85dfb83cd26522951,TA34
eeac62089627d340f459450468a2ac93,TA34
fca6e568891881bf59e43cf6b736adc6,TA34
565796584f5dbc8b7b28e5f763f73189,TA34
c8bbe20541b5284ad4c6120de90d8cdb,TA34
86363ec3581d81366a156e54c28a5da9,TA34
a46d7e7ec52d2ff21a464869bd65ee60,TA34
d70a56685ad7bc2a88c96fa40d0f9c19,TA34
955effc10de384d433b022ee6254b8f8,TA34
bcda27a0569c52103c54179e4345178f,TA34
fd8d019eac931b0acf3e9bbf61ae85c0,TA34
5b37f05e026597605e87457d163dca25,TA34
da967bc07ad2386f117fb0a239c8a65e,TA34
d92cf5ffd0c39b9eead1e490f42e0d55,TA34
0f3a77888ea9c3d33fbe8d50fa4e69c7,TA34
f3eb4d43b5549e215be59baf9e93e654,TA34
cde440ea19fc9fe800b58f482221b7e6,TA34
1347ab45e2ff1c09ec97b7b82756e9b0,TA34
b5ee99960f365b215df86d4ea5ceca20,TA34
40ed2c67a7f4df29a9537a50c9bcf7e2,TA34
578dd64337bef0a17a1f0a9a9e7d3ec0,TA34
d9f52aa2a2b346059a10bc06a0c9418e,TA34
38763f67377bbd658776b775ab5308be,TA34
b6db745ee2bfba27c0a094479b850c5f,TA34
80acb880654b5c71b1af270d5cfe5200,TA34
23da562eeddbd0c4c8ec5dc13dea255a,TA34
d4546c3adcce1263b3a2fd9178f96b17,TA34
7ecb1b6363e5c2fb68c364573d223366,TA34
c1f3d57f265cc539ea584bdb0c90c06b,TA34
